epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
26,5075,,,0.9533958435058594,,0.1716405600309372,,
27,5099,,,,0.93359375,,,
27,5149,,,,0.921875,,,
27,5199,,,,0.953125,,,
27,5249,,,,0.94921875,,,
27,5263,,,,,,0.9635833501815796,0.14403480291366577
27,5263,,,0.9530624747276306,,0.17706453800201416,,
28,5299,,,,0.94921875,,,
28,5349,,,,0.94921875,,,
28,5399,,,,0.953125,,,
28,5449,,,,0.94140625,,,
28,5451,,,,,,0.9641666412353516,0.14317476749420166
28,5451,,,0.953249990940094,,0.1777576506137848,,
29,5499,,,,0.953125,,,
29,5549,,,,0.9453125,,,
29,5599,,,,0.97265625,,,
29,5639,,,,,,0.9630833268165588,0.14807386696338654
29,5639,,,0.9543333053588867,,0.1754818707704544,,
30,5640,0.9678999781608582,0.13972043991088867,,,,,
