epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
16,101,,,138469.0625,250.995361328125,,,
17,104,,,,,226.87973022460938,,
17,107,,,,,,122243.3984375,243.91065979003906
17,107,,,122576.15625,225.42941284179688,,,
18,109,,,,,307.4507141113281,,
18,113,,,,,,117065.796875,243.89862060546875
18,113,,,132654.21875,245.78280639648438,,,
19,114,,,,,219.8320770263672,,
19,119,,,,,288.4599304199219,,
19,119,,,,,,118682.96875,242.32643127441406
19,119,,,130196.5625,246.1244354248047,,,
20,124,,,,,248.1953125,,
20,125,,,,,,117365.4765625,247.15126037597656
20,125,,,138098.28125,240.21910095214844,,,
21,129,,,,,271.76519775390625,,
21,131,,,,,,121680.8046875,241.78228759765625
21,131,,,134254.6875,256.8672790527344,,,
22,134,,,,,317.67724609375,,
22,137,,,,,,118448.171875,240.87879943847656
22,137,,,146983.4375,259.6038818359375,,,
23,139,,,,,232.01699829101562,,
23,143,,,,,,162988.171875,268.6259765625
23,143,,,128732.9375,246.1085205078125,,,
24,144,,,,,279.94000244140625,,
24,149,,,,,340.51190185546875,,
24,149,,,,,,207634.296875,304.9026794433594
24,149,,,152902.84375,255.7704315185547,,,
25,154,,,,,277.84765625,,
25,155,,,,,,130741.6015625,244.04058837890625
25,155,,,146999.125,256.7571105957031,,,
26,159,,,,,255.64175415039062,,
26,161,,,,,,115006.5234375,241.23976135253906
26,161,,,117346.671875,220.91314697265625,,,
27,164,,,,,227.09950256347656,,
27,167,,,,,,114760.1953125,241.38218688964844
27,167,,,103766.671875,228.27146911621094,,,
28,169,,,,,244.98451232910156,,
28,173,,,,,,137295.78125,247.7764129638672
28,173,,,126527.875,245.8131866455078,,,
29,174,,,,,231.24647521972656,,
29,179,,,,,198.18394470214844,,
29,179,,,,,,110784.75,240.1470184326172
29,179,,,110586.9609375,226.05072021484375,,,
30,184,,,,,232.96881103515625,,
30,185,,,,,,110407.4765625,237.80540466308594
30,185,,,102603.234375,226.91961669921875,,,
31,189,,,,,321.17584228515625,,
31,191,,,,,,137392.40625,245.01791381835938
31,191,,,114004.6640625,227.30368041992188,,,
32,194,,,,,227.49160766601562,,
32,197,,,,,,122004.0234375,229.6213836669922
32,197,,,114920.203125,225.56564331054688,,,
33,199,,,,,151.80447387695312,,
33,203,,,,,,119041.5234375,235.6042938232422
33,203,,,119060.2734375,229.10665893554688,,,
34,204,,,,,219.44529724121094,,
34,209,,,,,122.14641571044922,,
34,209,,,,,,119602.453125,231.86216735839844
34,209,,,127224.9609375,237.1016082763672,,,
35,214,,,,,303.2438659667969,,
35,215,,,,,,118859.28125,229.24244689941406
35,215,,,127879.1171875,232.17225646972656,,,
36,219,,,,,243.18887329101562,,
36,221,,,,,,117838.4921875,231.04945373535156
36,221,,,137096.34375,246.28713989257812,,,
37,224,,,,,252.35379028320312,,
37,227,,,,,,105873.8671875,231.64988708496094
37,227,,,128417.1875,237.52928161621094,,,
38,229,,,,,156.0840301513672,,
38,233,,,,,,113043.8515625,229.7754364013672
38,233,,,98060.6484375,207.7783203125,,,
39,234,,,,,195.42262268066406,,
