epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
26,5075,,,0.9303333163261414,,0.24675200879573822,,
27,5099,,,,0.9296875,,,
27,5149,,,,0.921875,,,
27,5199,,,,0.91796875,,,
27,5249,,,,0.921875,,,
27,5263,,,,,,0.9083333611488342,0.34447363018989563
27,5263,,,0.9304999709129333,,0.24506984651088715,,
28,5299,,,,0.94921875,,,
28,5349,,,,0.9296875,,,
28,5399,,,,0.953125,,,
28,5449,,,,0.921875,,,
28,5451,,,,,,0.9148333072662354,0.33906814455986023
28,5451,,,0.9302083253860474,,0.24533197283744812,,
29,5499,,,,0.94921875,,,
29,5549,,,,0.91796875,,,
29,5599,,,,0.921875,,,
29,5639,,,,,,0.9210000038146973,0.31416061520576477
29,5639,,,0.9312083125114441,,0.24490049481391907,,
30,5640,0.9240999817848206,0.3186826705932617,,,,,
